Region_No,Salesman_No,Product_Code,Unit_Sold
1,5,23679812C,15
3,1,54326778B,10
3,1,32671898G,10
3,4,87678943E,6
2,2,87678943E,4
2,2,54326778B,5
2,5,65478321D,10
2,1,76579940F,10
2,6,12345678A,30
2,2,23679812C,15
1,3,32671898G,5
4,4,12345678A,7
3,4,74526829H,7
3,4,12345678A,10
4,6,23679812C,5
2,2,74526829H,5
4,4,32671898G,10
4,1,23679812C,10
4,4,54326778B,30
1,5,76579940F,20
1,1,12345678A,20
2,1,74526829H,8
1,2,74526829H,10
4,5,65478321D,10
4,5,87678943E,8
4,1,76579940F,4
1,1,87678943E,20
1,1,32671898G,10
4,3,23679812C,20
4,4,74526829H,20
1,6,54326778B,5
4,5,23679812C,7
3,3,87678943E,10
2,6,76579940F,15
2,4,23679812C,7
1,1,54326778B,10
2,3,32671898G,30
4,6,74526829H,10
4,4,65478321D,9
3,6,32671898G,5
4,1,87678943E,20
3,4,65478321D,4
4,6,32671898G,5
3,5,87678943E,4
2,3,87678943E,20
2,2,32671898G,15
3,6,76579940F,7
2,1,65478321D,5
4,1,32671898G,10
1,2,23679812C,2
1,5,87678943E,15
3,1,65478321D,5
1,4,76579940F,5
3,5,23679812C,10
4,6,87678943E,20
4,3,74526829H,20
4,5,76579940F,4
4,1,54326778B,9
4,3,54326778B,30
2,6,74526829H,20
2,5,23679812C,5
1,2,32671898G,20
3,2,23679812C,15
4,4,23679812C,8
2,1,32671898G,5
2,4,54326778B,10
1,6,74526829H,5
1,1,76579940F,10
3,6,65478321D,10
4,2,76579940F,5
3,5,76579940F,20
4,2,12345678A,20
1,3,12345678A,1
4,6,12345678A,10
1,3,76579940F,2
1,2,87678943E,5
2,2,65478321D,10
3,3,54326778B,5
2,5,54326778B,15
1,3,87678943E,10
3,2,87678943E,5
4,5,12345678A,15
1,6,32671898G,10
1,2,12345678A,10
1,6,23679812C,2
1,1,65478321D,1
1,6,12345678A,10
2,3,65478321D,20
4,1,74526829H,8
4,3,65478321D,15
4,2,74526829H,20
1,4,87678943E,2
3,1,23679812C,15
3,4,76579940F,10
1,4,54326778B,10
4,1,12345678A,5
1,4,12345678A,30
3,1,87678943E,3
2,1,23679812C,15
1,3,23679812C,5
1,5,32671898G,5
1,2,76579940F,10
1,3,54326778B,10
1,2,65478321D,20
2,3,54326778B,5
4,6,54326778B,15
2,6,87678943E,20
2,3,23679812C,15
3,3,12345678A,10
4,2,23679812C,8
3,3,76579940F,20
2,4,65478321D,9
3,6,74526829H,10
3,2,76579940F,10
2,6,65478321D,4
4,1,65478321D,6
1,6,76579940F,3
4,3,12345678A,9
4,6,65478321D,23
1,2,54326778B,5
2,2,76579940F,10
2,1,54326778B,10
3,6,54326778B,15
2,4,87678943E,10
1,5,74526829H,10
4,3,32671898G,15
4,3,87678943E,10
3,5,54326778B,10
2,4,76579940F,5
3,3,32671898G,5
1,6,87678943E,20
1,3,74526829H,2
2,5,32671898G,6
4,4,87678943E,15
1,4,23679812C,5
2,4,32671898G,20
2,5,76579940F,10
4,3,76579940F,5
3,2,32671898G,8
3,2,54326778B,20
3,3,65478321D,5
3,6,23679812C,8
1,4,32671898G,10
1,1,74526829H,5
4,2,87678943E,10
4,5,32671898G,30
3,6,87678943E,20
2,3,74526829H,10
1,5,65478321D,5
3,5,12345678A,9
4,5,74526829H,8
3,4,32671898G,20
1,5,12345678A,20
2,5,12345678A,20
3,6,12345678A,10
3,5,74526829H,5
4,6,76579940F,15
3,1,76579940F,5
3,1,74526829H,6
3,2,74526829H,8
2,4,74526829H,15
2,3,76579940F,15
2,2,12345678A,20
2,6,32671898G,5
1,1,23679812C,5
1,6,65478321D,10
4,2,32671898G,2
3,5,32671898G,10
2,5,74526829H,15
2,1,87678943E,1
3,2,12345678A,10
3,5,65478321D,5
2,3,12345678A,10
3,2,65478321D,4
2,4,12345678A,5
2,6,54326778B,5
1,4,74526829H,15
3,4,23679812C,30
4,2,65478321D,9
4,2,54326778B,15
1,4,65478321D,15
4,5,54326778B,5
4,4,76579940F,5
1,3,65478321D,20
2,5,87678943E,5
3,3,23679812C,1
3,1,12345678A,20
1,5,54326778B,10
3,4,54326778B,3
2,6,23679812C,10
2,1,12345678A,2
